model,dataset,rel_depth,halluc_auroc,size_B
Qwen2.5-3B,triviaqa,0.45,0.7595779220779221,3.0
Qwen2.5-3B,triviaqa,0.5,0.7416801948051949,3.0
Qwen2.5-3B,triviaqa,0.55,0.7243506493506493,3.0
Qwen2.5-3B,triviaqa,0.6000000000000001,0.764732142857143,3.0
Qwen2.5-3B,triviaqa,0.65,0.7620941558441559,3.0
Qwen2.5-3B,triviaqa,0.7000000000000001,0.7766639610389611,3.0
Qwen2.5-3B,triviaqa,0.75,0.7921063311688312,3.0
Qwen2.5-3B,triviaqa,0.8,0.8031047077922079,3.0
Qwen2.5-3B,triviaqa,0.8500000000000001,0.7909699675324675,3.0
Qwen2.5-3B,triviaqa,0.9,0.7775162337662337,3.0
Qwen2.5-3B,triviaqa,0.9500000000000001,0.7726258116883116,3.0
Qwen2.5-3B,triviaqa,1.0,0.7686688311688312,3.0
Llama-3.2-3B,nq_open,0.0,0.5,3.2
Llama-3.2-3B,nq_open,0.05,0.5057357635670888,3.2
Llama-3.2-3B,nq_open,0.1,0.565606013798785,3.2
Llama-3.2-3B,nq_open,0.15000000000000002,0.5666769642673257,3.2
Llama-3.2-3B,nq_open,0.2,0.5506538976418495,3.2
Llama-3.2-3B,nq_open,0.25,0.5437133147976522,3.2
Llama-3.2-3B,nq_open,0.30000000000000004,0.6050046339202966,3.2
Llama-3.2-3B,nq_open,0.35000000000000003,0.669838327669653,3.2
Llama-3.2-3B,nq_open,0.4,0.5947688188652044,3.2
Llama-3.2-3B,nq_open,0.45,0.6425084955205438,3.2
Llama-3.2-3B,nq_open,0.5,0.7091957573885285,3.2
Llama-3.2-3B,nq_open,0.55,0.6664607146534858,3.2
Llama-3.2-3B,nq_open,0.6000000000000001,0.659458346205334,3.2
Llama-3.2-3B,nq_open,0.65,0.666100298630419,3.2
Llama-3.2-3B,nq_open,0.7000000000000001,0.6664813098548037,3.2
Llama-3.2-3B,nq_open,0.75,0.714859437751004,3.2
Llama-3.2-3B,nq_open,0.8,0.6578313253012047,3.2
Llama-3.2-3B,nq_open,0.8500000000000001,0.6820306868499643,3.2
Llama-3.2-3B,nq_open,0.9,0.6916486458655133,3.2
Llama-3.2-3B,nq_open,0.9500000000000001,0.67095046854083,3.2
Llama-3.2-3B,nq_open,1.0,0.6764493872927608,3.2
Llama-3.2-3B,squad,0.0,0.5,3.2
Llama-3.2-3B,squad,0.05,0.568063872255489,3.2
Llama-3.2-3B,squad,0.1,0.5313373253493014,3.2
Llama-3.2-3B,squad,0.15000000000000002,0.5564870259481037,3.2
Llama-3.2-3B,squad,0.2,0.5577209217927781,3.2
Llama-3.2-3B,squad,0.25,0.5470876428960262,3.2
Llama-3.2-3B,squad,0.30000000000000004,0.6327345309381237,3.2
Llama-3.2-3B,squad,0.35000000000000003,0.6822355289421158,3.2
Llama-3.2-3B,squad,0.4,0.6522228270731264,3.2
Llama-3.2-3B,squad,0.45,0.7212302667392488,3.2
Llama-3.2-3B,squad,0.5,0.7232807113046634,3.2
Llama-3.2-3B,squad,0.55,0.7462529486481582,3.2
Llama-3.2-3B,squad,0.6000000000000001,0.7457811649428415,3.2
Llama-3.2-3B,squad,0.65,0.7342043186354564,3.2
Llama-3.2-3B,squad,0.7000000000000001,0.7394302304481946,3.2
Llama-3.2-3B,squad,0.75,0.7160225004536381,3.2
Llama-3.2-3B,squad,0.8,0.653202685538015,3.2
Llama-3.2-3B,squad,0.8500000000000001,0.7111232081291964,3.2
Llama-3.2-3B,squad,0.9,0.7288332426056976,3.2
Llama-3.2-3B,squad,0.9500000000000001,0.5893667211032476,3.2
Llama-3.2-3B,squad,1.0,0.5095264017419706,3.2
Llama-3.2-3B,triviaqa,0.0,0.5,3.2
Llama-3.2-3B,triviaqa,0.05,0.6198778833107191,3.2
Llama-3.2-3B,triviaqa,0.1,0.6634554500226142,3.2
Llama-3.2-3B,triviaqa,0.15000000000000002,0.7460199004975124,3.2
Llama-3.2-3B,triviaqa,0.2,0.7265943012211669,3.2
Llama-3.2-3B,triviaqa,0.25,0.7747625508819539,3.2
Llama-3.2-3B,triviaqa,0.30000000000000004,0.7668249660786975,3.2
Llama-3.2-3B,triviaqa,0.35000000000000003,0.7878335594753505,3.2
Llama-3.2-3B,triviaqa,0.4,0.7943012211668928,3.2
Llama-3.2-3B,triviaqa,0.45,0.834486657620986,3.2
Llama-3.2-3B,triviaqa,0.5,0.8281320669380371,3.2
Llama-3.2-3B,triviaqa,0.55,0.8138398914518317,3.2
Llama-3.2-3B,triviaqa,0.6000000000000001,0.8142695612844867,3.2
Llama-3.2-3B,triviaqa,0.65,0.8203075531433741,3.2
